Datetime,Open,High,Low,Close,Adj Close,Volume
2021-03-29 09:30:00-04:00,2030.0,2030.0,2030.0,2030.0,2030.0,27381
2021-03-29 09:31:00-04:00,2030.47998046875,2034.260009765625,2030.47998046875,2032.8900146484375,2032.8900146484375,4088
2021-03-29 09:32:00-04:00,2032.3399658203125,2033.0,2030.0899658203125,2031.550048828125,2031.550048828125,3944
2021-03-29 09:33:00-04:00,2031.3399658203125,2032.3299560546875,2029.574951171875,2032.3299560546875,2032.3299560546875,5113
2021-03-29 09:34:00-04:00,2035.8751220703125,2035.8751220703125,2032.010009765625,2035.8751220703125,2035.8751220703125,5662
2021-03-29 09:35:00-04:00,2035.6650390625,2036.0,2034.25,2035.7099609375,2035.7099609375,5738
2021-03-29 09:36:00-04:00,2036.76708984375,2036.76708984375,2034.300048828125,2034.52001953125,2034.52001953125,6545
2021-03-29 09:37:00-04:00,2037.2900390625,2037.9200439453125,2036.030029296875,2037.9200439453125,2037.9200439453125,4919
2021-03-29 09:38:00-04:00,2038.0699462890625,2038.0699462890625,2035.261474609375,2035.261474609375,2035.261474609375,3146
2021-03-29 09:39:00-04:00,2034.6600341796875,2035.75,2032.4599609375,2033.3499755859375,2033.3499755859375,6289
2021-03-29 09:40:00-04:00,2032.0999755859375,2032.0999755859375,2030.3900146484375,2030.8499755859375,2030.8499755859375,4004
2021-03-29 09:41:00-04:00,2030.2850341796875,2032.800048828125,2030.2850341796875,2032.800048828125,2032.800048828125,5896
2021-03-29 09:42:00-04:00,2032.699951171875,2033.3900146484375,2032.4599609375,2032.4599609375,2032.4599609375,2466
2021-03-29 09:43:00-04:00,2029.1600341796875,2029.1600341796875,2029.0,2029.0,2029.0,6244
2021-03-29 09:44:00-04:00,2028.3499755859375,2028.3499755859375,2026.0699462890625,2026.697265625,2026.697265625,4227
2021-03-29 09:45:00-04:00,2027.7099609375,2028.1099853515625,2026.18994140625,2026.719970703125,2026.719970703125,8765
2021-03-29 09:46:00-04:00,2025.3900146484375,2025.3900146484375,2023.5,2025.18994140625,2025.18994140625,5923
2021-03-29 09:47:00-04:00,2026.699951171875,2026.699951171875,2026.699951171875,2026.699951171875,2026.699951171875,2297
2021-03-29 09:48:00-04:00,2027.0,2028.449951171875,2027.0,2028.385009765625,2028.385009765625,3506
2021-03-29 09:49:00-04:00,2025.8299560546875,2027.425048828125,2025.6800537109375,2025.8299560546875,2025.8299560546875,3390
2021-03-29 09:50:00-04:00,2024.739990234375,2025.47998046875,2024.3299560546875,2025.1800537109375,2025.1800537109375,2498
2021-03-29 09:51:00-04:00,2024.3399658203125,2028.3499755859375,2024.3399658203125,2028.3499755859375,2028.3499755859375,4850
2021-03-29 09:52:00-04:00,2028.969970703125,2030.800048828125,2028.969970703125,2029.77001953125,2029.77001953125,4754
2021-03-29 09:53:00-04:00,2026.6400146484375,2027.0928955078125,2025.43994140625,2027.0928955078125,2027.0928955078125,1335
