Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-26 09:30:00-04:00,165.2100067138672,165.41000366210938,165.02000427246094,165.0800018310547,310452,0,0
2021-04-26 09:31:00-04:00,165.0500030517578,165.14999389648438,164.85000610351562,164.9199981689453,22940,0,0
2021-04-26 09:32:00-04:00,164.86000061035156,164.97000122070312,164.41000366210938,164.5699005126953,35057,0,0
2021-04-26 09:33:00-04:00,164.5500030517578,164.69000244140625,164.27000427246094,164.56390380859375,34057,0,0
2021-04-26 09:34:00-04:00,164.54319763183594,164.63999938964844,164.5,164.50999450683594,20419,0,0
2021-04-26 09:35:00-04:00,164.5800018310547,164.67999267578125,164.47999572753906,164.67999267578125,16486,0,0
2021-04-26 09:36:00-04:00,164.69000244140625,164.9394989013672,164.68499755859375,164.7899932861328,20602,0,0
2021-04-26 09:37:00-04:00,164.75999450683594,164.99169921875,164.75999450683594,164.94500732421875,27679,0,0
2021-04-26 09:38:00-04:00,164.99989318847656,165.07000732421875,164.8699951171875,165.02000427246094,9548,0,0
2021-04-26 09:39:00-04:00,165.01710510253906,165.07000732421875,164.9499969482422,165.0050048828125,8580,0,0
2021-04-26 09:40:00-04:00,164.9949951171875,164.9949951171875,164.80999755859375,164.8300018310547,14056,0,0
2021-04-26 09:41:00-04:00,164.82000732421875,164.8300018310547,164.67999267578125,164.67999267578125,8776,0,0
2021-04-26 09:42:00-04:00,164.6699981689453,164.78500366210938,164.59010314941406,164.78500366210938,20163,0,0
2021-04-26 09:43:00-04:00,164.78500366210938,164.8000030517578,164.64999389648438,164.64999389648438,11690,0,0
2021-04-26 09:44:00-04:00,164.58999633789062,164.6300048828125,164.55999755859375,164.6132049560547,9653,0,0
2021-04-26 09:45:00-04:00,164.6199951171875,164.63999938964844,164.61500549316406,164.625,4193,0,0
2021-04-26 09:46:00-04:00,164.64999389648438,164.69000244140625,164.63999938964844,164.67999267578125,15357,0,0
2021-04-26 09:47:00-04:00,164.66000366210938,164.8000030517578,164.66000366210938,164.78500366210938,10077,0,0
2021-04-26 09:48:00-04:00,164.78500366210938,164.78500366210938,164.6300048828125,164.64999389648438,11740,0,0
2021-04-26 09:49:00-04:00,164.6199951171875,164.7335968017578,164.6199951171875,164.7100067138672,11401,0,0
2021-04-26 09:50:00-04:00,164.7220001220703,164.8000030517578,164.72000122070312,164.77000427246094,12595,0,0
2021-04-26 09:51:00-04:00,164.77999877929688,164.9499969482422,164.72000122070312,164.9499969482422,14708,0,0
2021-04-26 09:52:00-04:00,164.9409942626953,164.97000122070312,164.89999389648438,164.9499969482422,19240,0,0
2021-04-26 09:53:00-04:00,164.9600067138672,165.10000610351562,164.92999267578125,165.07000732421875,29339,0,0
2021-04-26 09:54:00-04:00,165.0800018310547,165.0800018310547,164.92999267578125,164.95989990234375,12364,0,0
2021-04-26 09:55:00-04:00,164.9600067138672,164.97999572753906,164.72999572753906,164.72999572753906,10438,0,0
2021-04-26 09:56:00-04:00,164.73500061035156,164.77000427246094,164.6999969482422,164.72000122070312,9136,0,0
2021-04-26 09:57:00-04:00,164.67999267578125,164.80499267578125,164.67999267578125,164.80499267578125,7771,0,0
2021-04-26 09:58:00-04:00,164.82000732421875,164.82000732421875,164.75,164.75999450683594,8782,0,0
2021-04-26 09:59:00-04:00,164.72500610351562,164.75999450683594,164.6300048828125,164.66000366210938,16009,0,0
2021-04-26 10:00:00-04:00,164.6699981689453,164.77000427246094,164.6300048828125,164.63499450683594,13631,0,0
2021-04-26 10:01:00-04:00,164.63499450683594,164.6699981689453,164.5500946044922,164.60000610351562,19404,0,0
2021-04-26 10:02:00-04:00,164.60220336914062,164.6699981689453,164.5500030517578,164.57000732421875,14608,0,0
2021-04-26 10:03:00-04:00,164.52999877929688,164.58999633789062,164.47999572753906,164.47999572753906,12691,0,0
2021-04-26 10:04:00-04:00,164.4600067138672,164.55999755859375,164.45010375976562,164.45010375976562,12201,0,0
2021-04-26 10:05:00-04:00,164.4499969482422,164.5050048828125,164.39999389648438,164.47999572753906,15602,0,0
2021-04-26 10:06:00-04:00,164.47999572753906,164.5,164.38589477539062,164.4199981689453,14648,0,0
2021-04-26 10:07:00-04:00,164.40499877929688,164.51170349121094,164.39999389648438,164.39999389648438,9189,0,0
2021-04-26 10:08:00-04:00,164.40679931640625,164.4799041748047,164.3800048828125,164.42019653320312,8410,0,0
2021-04-26 10:09:00-04:00,164.40879821777344,164.4499969482422,164.33999633789062,164.3782958984375,9969,0,0
